unix_time,ph_level
1614528000,7.934760118
1614531600,8.741067321
1614535200,7.823475024
1614538800,8.767380284
1614542400,7.205606551
1614546000,8.643372073
1614549600,8.333310133
1614553200,8.872241084
1614556800,6.695485915
1614560400,8.518911539
1614564000,8.895376321
1614567600,8.632741813
1614571200,7.746996641
1614574800,8.764934742
1614578400,7.177798718
1614582000,6.699328797
1614585600,6.902048075
1614589200,7.593022378
1614592800,8.813978715
1614596400,8.097441759
1614600000,8.744494053
1614603600,8.615357574
1614607200,8.446068048
1614610800,6.974073849
