unix_time,ph_level
1614528000,6.1504824
1614531600,6.270653709
1614535200,6.020206818
1614538800,6.428637598
1614542400,6.29220296
1614546000,6.099357754
1614549600,6.102348489
1614553200,6.150386066
1614556800,6.234059274
1614560400,6.310441432
1614564000,6.181983709
1614567600,6.166759292
1614571200,6.29299457
1614574800,6.065228103
1614578400,6.348647276
1614582000,6.389185871
1614585600,6.065904409
1614589200,6.152171842
1614592800,6.316545888
1614596400,6.142043637
1614600000,6.139972946
1614603600,6.267681314
1614607200,6.369116477
1614610800,6.479118882
